Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
40870980,25,10.41,-3.54,11.52
40932052,25,10.41,-3.54,11.61
40993120,25,10.41,-3.54,11.66
41054172,25,10.41,-3.54,11.63
41115228,25,10.41,-3.54,11.74
41176296,25,10.41,-3.54,11.72
41237348,25,10.41,-3.54,11.69
41298432,25,10.41,-3.54,11.77
41359500,25,10.41,-3.54,11.61
41420556,25,10.41,-3.54,11.67
41481636,25,10.41,-3.54,11.75
41542708,25,10.99,-3.54,11.82
41603776,25,10.99,-3.54,11.75
41664852,25,10.99,-3.54,11.91
41725920,25,10.99,-3.54,12.02
41786988,25,10.99,-3.54,12.01
41848064,25,10.99,-3.54,11.88
41909136,25,10.99,-3.54,12.02
41970204,25,10.99,-3.54,12.05
42031280,25,10.99,-3.54,11.93
42092348,25,10.99,-3.54,12.02
42153420,25,10.99,-3.54,11.98
42214500,25,10.99,-3.54,11.99
42275564,25,10.99,-3.54,12.14
42336636,25,10.99,-3.54,12.02
42397704,25,10.99,-3.54,12.30
42458776,25,10.99,-3.54,12.03
42519852,25,10.99,-3.54,12.09
42580920,25,10.99,-3.54,12.21
42641988,25,10.99,-3.54,12.33
42703068,25,10.99,-3.54,12.31
42764128,25,10.99,-3.54,12.23
42825212,25,10.99,-3.54,12.41
42886276,25,10.99,-3.54,12.27
42947340,25,10.99,-3.54,12.25
43008404,25,10.99,-3.54,12.32
43069476,25,10.99,-3.54,12.37
43130548,25,10.99,-3.54,12.25
43191620,25,10.99,-3.54,12.30
43252692,25,10.99,-3.54,12.29
43313772,25,10.99,-3.54,12.28
43374852,25,10.99,-3.54,12.35
43435912,25,10.99,-3.54,12.26
43496996,25,10.99,-3.54,12.41
43558068,25,10.99,-3.54,12.38
43619148,25,10.99,-3.54,12.47
43680244,25,10.99,-3.54,12.46
43741320,25,10.99,-3.54,12.52
43802388,25,10.99,-3.54,12.43
43863472,25,10.99,-3.54,12.47
43924544,25,10.99,-3.54,12.51
43985612,25,10.99,-3.54,12.58
