Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
27727832,25,6.57,-2.19,14.48
27788880,25,6.57,-2.19,14.46
27849920,25,6.57,-2.19,14.58
27910956,25,6.57,-2.19,14.54
27972000,25,6.57,-2.19,14.55
28033044,25,6.57,-2.19,14.34
28094084,25,6.57,-2.19,14.54
28155136,25,6.57,-2.19,14.63
28216176,25,6.57,-2.19,14.59
28277216,25,6.57,-2.19,14.61
28338248,25,6.57,-2.19,14.54
28399272,25,6.57,-2.19,14.63
28460308,25,6.57,-2.19,14.82
28521328,25,6.57,-2.19,14.80
28582356,25,7.08,-2.19,14.81
28643384,25,7.08,-2.19,14.88
28704404,25,7.08,-2.19,14.87
28765444,25,7.08,-2.19,14.95
28826460,25,7.08,-2.19,14.88
28887496,25,7.08,-2.19,14.78
28948528,25,7.08,-2.19,14.85
29009552,25,7.08,-2.19,15.01
29070580,25,7.08,-2.19,14.95
29131608,25,7.08,-2.19,14.94
29192636,25,7.08,-2.19,14.99
29253672,25,7.08,-2.19,14.96
29314688,25,7.08,-2.19,14.98
29375720,25,7.08,-2.19,15.16
29436744,25,7.08,-2.19,14.91
29497788,25,7.08,-2.19,15.08
29558828,25,7.08,-2.19,15.07
29619860,25,7.08,-2.19,15.09
29680912,25,7.08,-2.19,15.15
29741940,25,7.08,-2.19,15.20
29802980,25,7.08,-2.19,15.11
29864004,25,7.08,-2.19,15.28
29925028,25,7.08,-2.19,15.04
29986060,25,7.08,-2.19,15.18
30047088,25,7.08,-2.19,15.33
30108124,25,7.08,-2.19,15.28
30169164,25,7.08,-2.19,15.41
30230196,25,7.08,-2.19,15.34
30291248,25,7.08,-2.19,15.34
30352288,25,7.08,-2.19,15.48
30413344,25,7.08,-2.19,15.42
30474380,25,7.08,-2.19,15.34
30535420,25,7.08,-2.19,15.42
30596468,25,7.08,-2.19,15.45
30657504,25,7.08,-2.19,15.37
30718556,25,7.08,-2.19,15.45
30779604,25,7.08,-2.19,15.62
30840640,25,7.08,-2.19,15.62
30901692,25,7.08,-2.19,15.46
30962740,25,7.08,-2.19,15.55
31023780,25,7.08,-2.19,15.65
31084828,25,7.08,-2.19,15.56
31145864,25,7.08,-2.19,15.64
31206912,25,7.08,-2.19,15.65
31267948,25,7.08,-2.19,15.65
31328988,25,7.08,-2.19,15.95
31390032,25,7.08,-2.19,15.79
31451068,25,7.08,-2.19,15.89
31512112,25,7.63,-2.19,15.74
31573152,25,7.63,-2.19,15.87
31634188,25,7.63,-2.19,15.93
31695244,25,7.63,-2.19,15.86
31756276,25,7.63,-2.19,15.89
31817320,25,7.63,-2.19,15.81
31878364,25,7.63,-2.19,16.03
31939392,25,7.63,-2.19,15.95
32000448,25,7.63,-2.19,16.05
32061476,25,7.63,-2.19,16.14
32122516,25,7.63,-2.19,15.90
32183580,25,7.63,-2.19,15.98
32244616,25,7.63,-2.19,16.07
32305660,25,7.63,-2.19,16.06
32366708,25,7.63,-2.19,16.09
32427756,25,7.63,-2.19,16.23
32488804,25,7.63,-2.19,16.02
